Entity,Code,Year,Renewables (% equivalent primary energy)
United States,USA,1965,4.36887
United States,USA,1966,4.171402
United States,USA,1967,4.542216
United States,USA,1968,4.3309736
United States,USA,1969,4.5988784
United States,USA,1970,4.400803
United States,USA,1971,4.614475
United States,USA,1972,4.526047
United States,USA,1973,4.3547597
United States,USA,1974,4.902865
United States,USA,1975,5.006975
United States,USA,1976,4.5527077
United States,USA,1977,3.549314
United States,USA,1978,4.3275704
United States,USA,1979,4.2914057
United States,USA,1980,4.419221
United States,USA,1981,4.3367486
United States,USA,1982,5.2567115
United States,USA,1983,5.6848154
United States,USA,1984,5.3343606
United States,USA,1985,4.765776
United States,USA,1986,4.898404
United States,USA,1987,4.2147536
United States,USA,1988,3.6649997
United States,USA,1989,4.3015428
United States,USA,1990,4.7246766
United States,USA,1991,4.7242856
United States,USA,1992,4.261231
United States,USA,1993,4.5714097
United States,USA,1994,4.2548165
United States,USA,1995,4.762141
United States,USA,1996,5.0185714
United States,USA,1997,5.115221
United States,USA,1998,4.695757
United States,USA,1999,4.5834517
United States,USA,2000,4.027357
United States,USA,2001,3.421371
United States,USA,2002,4.0155067
United States,USA,2003,4.1800404
United States,USA,2004,4.1015115
United States,USA,2005,4.219231
United States,USA,2006,4.6788607
United States,USA,2007,4.3730087
United States,USA,2008,5.0045505
United States,USA,2009,5.8000064
United States,USA,2010,5.8405547
United States,USA,2011,6.8973193
United States,USA,2012,6.886334
United States,USA,2013,7.1346164
United States,USA,2014,7.262891
United States,USA,2015,7.468743
United States,USA,2016,8.285086
United States,USA,2017,9.082049
United States,USA,2018,8.964939
United States,USA,2019,9.315263
United States,USA,2020,10.532232
United States,USA,2021,10.655991
China,CHN,1965,4.253407
China,CHN,1966,3.9831228
China,CHN,1967,3.818398
China,CHN,1968,4.458871
China,CHN,1969,3.7274022
China,CHN,1970,3.0095923
China,CHN,1971,3.0704048
China,CHN,1972,3.2275975
China,CHN,1973,3.417015
China,CHN,1974,3.7493546
China,CHN,1975,3.5038238
China,CHN,1976,3.3725684
China,CHN,1977,3.228714
China,CHN,1978,2.7594638
